Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Torso_Pelvis_Block_Part,-0.0026291,5.7575E-06,0.023284,0,0,0,2.3256,0.024759,3.6529E-07,1.1558E-06,0.006575,2.0979E-07,0.024967,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/Torso_Pelvis_Block_Part.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/Torso_Pelvis_Block_Part.STL,,Pelvis_Block-1,Global_Pelvis,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
HipRollR_Part,-0.0903003744393853,-0.000130784088681862,-0.0687644768199273,0,0,0,0.435068282783871,0.000383364923927941,1.99992395967902E-07,-1.06385040786318E-06,0.000404539437578568,-8.95266834623942E-09,0.000391430386651977,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/HipRollR_Part.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/HipRollR_Part.STL,,HipRoll_URDF-1,O_HipYaw_R,HipYawR,HipYaw_R,revolute,0,-0.13,-0.046446,0,0,0,Torso_Pelvis_Block_Part,0,0,-1,351,8.3775,-0.4363,0.4363,,,0,0,,,,
HipPitchR_Part,-0.000822791914675068,0.00785932015738997,3.85487837579468E-05,0,0,0,0.700985179615452,0.000652595509463912,1.1049387496952E-07,-6.14452708359414E-07,0.00100499928622765,-2.44353586819173E-09,0.000673750393120321,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/HipPitchR_Part.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/HipPitchR_Part.STL,,HipPitch_URDF-1,O_HipRoll_Pitch_R,HipRollR,HipRoll_R,revolute,0,0.00065,-0.086,0,0,0,HipRollR_Part,1,0,0,351,8.3775,-0.8727,0.3927,,,0,0,,,,
ThighR_Part,-0.0227899111956999,-0.000183115039242149,-0.210046266722618,0,0,0,1.66769689715401,0.00829471423505149,-6.63723376590205E-07,7.09031016964121E-05,0.00847439846510511,1.50115115190612E-06,0.00164911098069743,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/ThighR_Part.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/ThighR_Part.STL,,ThighRight_URDF-1,O_HipRoll_Pitch_R,HipPitchR,HipPitch_R,revolute,0,0,0,0,0,0,HipPitchR_Part,0,1,0,298,16.775,-1.92,0.7854,,,0,0,,,,
ShankR_Part,-0.000181923950987254,2.20600607775678E-05,-0.158169550280377,0,0,0,1.17772715714883,0.0108584917907766,3.74030696811547E-07,-7.5081582426124E-06,0.0113665399085391,-1.24812463540786E-06,0.00167521473146955,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/ShankR_Part.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/ShankR_Part.STL,,Shank_URDF-1,O_KneePitch_R,KneePitchR,KneePitch_R,revolute,0,0,-0.44,0,0,0,ThighR_Part,0,1,0,420.6,6.9813,-0.087,2.1817,,,0,0,,,,
AnkleRollR_Part,-0.0119429914858919,-0.000187459598062961,-0.000443146889954615,0,0,0,0.0671792951142709,1.43956041226691E-05,3.63566563397394E-09,-1.5068555864796E-08,3.41547853807129E-05,-1.17303530371708E-08,3.42896825997896E-05,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/AnkleRollR_Part.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/AnkleRollR_Part.STL,,AnkleRoll_URDF-1,O_AnkleRoll_R,AnkleRollR,AnkleRoll_R,revolute,0,0,-0.43,0,0,0,ShankR_Part,-1,0,0,131.4,3.4906,-0.6109,0.6109,,,0,0,,,,
AnklePitch_Part,0.0301077233996027,-0.00196309846491491,-0.0755422002469033,0,0,0,1.12106222971331,0.000817779549658616,-4.41978788123929E-07,4.01974232480074E-05,0.000910722523091296,3.95280518137514E-06,0.00150089094228407,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/AnklePitch_Part.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/AnklePitch_Part.STL,,AnklePitch_URDF-1,O_AnklePitch_R,AnklePitchR,AnklePitch_R,revolute,0,0,0,0,0,0,AnkleRollR_Part,0,1,0,262.8,6.9813,-1.0821,0.7854,,,0,0,,,,
HipRollL_Part,-0.0903003744393846,0.0518692159113172,-0.0687644768199287,0,0,0,0.43506828278387,0.000383364923927941,1.99992395967906E-07,-1.06385040786318E-06,0.000404539437578568,-8.95266834622518E-09,0.000391430386651977,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/HipRollL_Part.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/HipRollL_Part.STL,,HipRoll_URDF-3,O_HipYaw_L,HipYawL,HipYaw_L,revolute,0,0.078,-0.046446,0,0,0,Torso_Pelvis_Block_Part,0,0,-1,351,8.3775,-0.4363,0.4363,,,0,0,,,,
HipPitchL_Part,-0.000822791914675244,-0.0078593201573911,-3.85487837519793E-05,0,0,0,0.700985179615452,0.000652595509463912,-1.10493874969634E-07,6.14452708359418E-07,0.00100499928622764,-2.44353586804341E-09,0.000673750393120319,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/HipPitchL_Part.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/HipPitchL_Part.STL,,HipPitch_URDF-3,O_HipRoll_Pitch_L,HipRollL,HipRoll_L,revolute,0,0.05135,-0.086,0,0,0,HipRollL_Part,1,0,0,351,8.3775,-0.3927,0.8727,,,0,0,,,,
ThighPartL_Part,-0.0227968132442243,0.000241134819986444,-0.210122068626476,0,0,0,1.66812027540205,0.00830891781575166,-6.91318016957726E-07,7.16028318047226E-05,0.00848884074676363,-1.16533852755273E-06,0.00164940071705267,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/ThighPartL_Part.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://URDF Assembly_New1/meshes/ThighPartL_Part.STL,,ThighLeft_URDF-1,O_HipRoll_Pitch_L,HipPitchL,HipPitch_L,revolute,0,0,0,0,0,0,HipPitchL_Part,0,1,0,298,16.775,-0.7854,1.92,,,0,0,,,,
